symbol,date,open,high,low,close,volume,adjclose,dividends,splits
GOOG,1/2/18,52.41699981689453,53.34700012207031,52.26150131225586,53.25,24752000,53.05935287475586,0,0
GOOG,1/3/18,53.21549987792969,54.31449890136719,53.160499572753906,54.124000549316406,28604000,53.93022537231445,0,0
GOOG,1/4/18,54.400001525878906,54.67850112915039,54.20009994506836,54.31999969482422,20092000,54.125518798828125,0,0
GOOG,1/5/18,54.70000076293945,55.212501525878906,54.599998474121094,55.11149978637695,25582000,54.914188385009766,0,0
GOOG,1/8/18,55.11149978637695,55.563499450683594,55.08100128173828,55.34700012207031,20952000,55.14884567260742,0,0
GOOG,1/9/18,55.470001220703125,55.528499603271484,55.06155014038086,55.31299973,18050000,55.11496353149414,0,0
GOOG,1/10/18,54.85499954223633,55.22999954223633,54.80550003051758,55.13050079345703,20856000,54.93312072753906,0,0
GOOG,1/11/18,55.314998626708984,55.32624816894531,54.97949981689453,55.27600098,19566000,55.07809829711914,0,0
GOOG,1/12/18,55.12049865722656,56.214500427246094,55.057498931884766,56.112998962402344,34410000,55.91210174560547,0,0
GOOG,1/16/18,56.62549973,56.99549865722656,55.89160156,56.08800125,31506000,55.88719559,0,0
GOOG,1/17/18,56.31100082397461,56.630001068115234,55.85049819946289,56.59899902,24052000,56.3963623,0,0
GOOG,1/18/18,56.570499420166016,56.62549973,55.875,56.489498138427734,23964000,56.28725051879883,0,0
GOOG,1/19/18,56.59149932861328,56.893001556396484,56.415000915527344,56.87549973,35564000,56.671875,0,0
GOOG,1/22/18,56.87450027,57.99399948120117,56.75550079345703,57.79050064086914,32360000,57.58359909057617,0,0
GOOG,1/23/18,57.99250030517578,58.58134841918945,57.9375,58.49850082397461,26662000,58.2890625,0,0
GOOG,1/24/18,58.86650085449219,58.99300003051758,58.05250168,58.21200180053711,28332000,58.00358963012695,0,0
GOOG,1/25/18,58.62649917602539,58.797000885009766,58.13800048828125,58.51850128173828,29610000,58.308990478515625,0,0
GOOG,1/26/18,58.75400161743164,58.79199981689453,57.90549850463867,58.79199981689453,40376000,58.581512451171875,0,0
GOOG,1/29/18,58.82400131225586,59.34450149536133,58.59899902,58.77899932861328,27578000,58.56855773925781,0,0
GOOG,1/30/18,58.39149856567383,58.82600021362305,58.17599868774414,58.18450164794922,31126000,57.97618865966797,0,0
GOOG,1/31/18,58.528499603271484,58.650001525878906,57.95650100708008,58.49700164794922,30774000,58.287567138671875,0,0
GOOG,2/1/18,58.13050079345703,58.70000076293945,57.875999450683594,58.38499832,48242000,58.17596435546875,0,0
GOOG,2/2/18,56.099998474121094,56.153499603271484,55.36389923095703,55.595001220703125,97158000,55.39595413208008,0,0
GOOG,2/5/18,54.529998779296875,55.5,52.60150146484375,52.790000915527344,75966000,52.60099792480469,0,0
GOOG,2/6/18,51.35900115966797,54.08549880981445,51.15684891,54.029998779296875,68960000,53.8365593,0,0
GOOG,2/7/18,54.07699966430664,54.0890007,52.41299819946289,52.42900085449219,47384000,52.24129104614258,0,0
GOOG,2/8/18,52.77050018310547,52.930999755859375,50.03300094604492,50.07600021362305,57182000,49.89671707,0,0
GOOG,2/9/18,50.86249923706055,52.19850158691406,49.62799835205078,51.888999938964844,70118000,51.703224182128906,0,0
GOOG,2/12/18,52.400001525878906,53.07500076293945,52.04639816,52.59700012207031,41154000,52.40869141,0,0
GOOG,2/13/18,52.25,52.91849899291992,52.204349517822266,52.60499954223633,25302000,52.41666030883789,0,0
